"SubnetIDString","SubnetID","SiteName","DcInSite","MaskBits","SubnetMask"
"161.173.132.0/24","161.173.132.0","ISD","True","24","255.255.255.0"
"30.6.160.0/19","30.6.160.0","US-S06057","False","19","255.255.224.0"
"10.153.16.0/21","10.153.16.0","US-S06018","False","21","255.255.248.0"
"240.0.0.0/5","240.0.0.0","ISD","True","5","248.0.0.0"
"10.191.34.184/29","10.191.34.184","US-S06099","False","29","255.255.255.248"
"161.163.34.0/24","161.163.34.0","CN-HOMEOFFICE","True","24","255.255.255.0"
"161.176.194.0/24","161.176.194.0","BR-HOMEOFFICE","False","24","255.255.255.0"
"10.141.0.0/21","10.141.0.0","ISD","True","21","255.255.248.0"
"10.162.224.0/21","10.162.224.0","US-S07030","False","21","255.255.248.0"
"172.26.155.124/32","172.26.155.124","ISD-EXCH","True","32","255.255.255.255"
"10.0.255.120/32","10.0.255.120","US-S08232","False","32","255.255.255.255"
"30.1.96.0/19","30.1.96.0","US-S06005","False","19","255.255.224.0"
"30.13.160.0/19","30.13.160.0","US-S07016","False","19","255.255.224.0"
"10.0.255.118/32","10.0.255.118","US-S08231","False","32","255.255.255.255"
"30.4.32.0/19","30.4.32.0","US-S06029","False","19","255.255.224.0"
"172.18.0.0/16","172.18.0.0","MX-Azcapotzalco","True","16","255.255.0.0"
"10.24.0.0/16","10.24.0.0","ISD","True","16","255.255.0.0"
"10.173.0.0/16","10.173.0.0","JP-Akabane","True","16","255.255.0.0"
"142.136.138.0/24","142.136.138.0","US-S06038","False","24","255.255.255.0"
"66.252.150.128/25","66.252.150.128","CA-Toronto-HO","True","25","255.255.255.128"
"172.26.155.125/32","172.26.155.125","ISD-EXCH","True","32","255.255.255.255"
"10.249.32.0/21","10.249.32.0","UK-S07452","False","21","255.255.248.0"
"10.162.32.0/21","10.162.32.0","US-S06697","False","21","255.255.248.0"
"161.163.248.0/22","161.163.248.0","PR-HOMEOFFICE","True","22","255.255.252.0"
"10.248.72.0/21","10.248.72.0","JP-S07485","False","21","255.255.248.0"
"10.153.32.0/21","10.153.32.0","US-S06095","False","21","255.255.248.0"
"10.191.34.56/29","10.191.34.56","US-S06059","False","29","255.255.255.248"
"30.7.0.0/19","30.7.0.0","US-S06060","False","19","255.255.224.0"
"22.0.0.0/11","22.0.0.0","IN-HOMEOFFICE","True","11","255.224.0.0"
"10.0.255.71/32","10.0.255.71","US-S09850","False","32","255.255.255.255"
"10.158.64.0/21","10.158.64.0","CA-Toronto-HO","True","21","255.255.248.0"
"30.18.128.0/19","30.18.128.0","AR-S07433","False","19","255.255.224.0"
"30.23.224.0/19","30.23.224.0","US-S08231","False","19","255.255.224.0"
"10.9.33.16/30","10.9.33.16","ID-S09760","False","30","255.255.255.252"
"30.12.192.0/19","30.12.192.0","US-S06697","False","19","255.255.224.0"
"10.147.40.0/21","10.147.40.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.154.96.0/24","10.154.96.0","US-S06061","False","24","255.255.255.0"
"30.26.0.0/19","30.26.0.0","ISD","True","19","255.255.224.0"
"10.153.244.0/24","10.153.244.0","US-S07025","False","24","255.255.255.0"
"28.128.0.0/11","28.128.0.0","CN-HOMEOFFICE","True","11","255.224.0.0"
"10.0.255.20/32","10.0.255.20","US-S06061","False","32","255.255.255.255"
"10.248.192.0/21","10.248.192.0","UK-S07432","False","21","255.255.248.0"
"10.9.32.104/30","10.9.32.104","BD-S09600","False","30","255.255.255.252"
"10.169.216.0/21","10.169.216.0","US-S06499","False","21","255.255.248.0"
"10.158.152.0/21","10.158.152.0","US-S09193","False","21","255.255.248.0"
"156.95.8.0/24","156.95.8.0","CA-Toronto-HO","True","24","255.255.255.0"
"28.0.0.0/10","28.0.0.0","UK-Leeds-HO","True","10","255.192.0.0"
"161.163.22.0/24","161.163.22.0","CN-HOMEOFFICE","True","24","255.255.255.0"
"10.249.40.0/21","10.249.40.0","UK-S07454","False","21","255.255.248.0"
"161.176.240.0/23","161.176.240.0","BR-Bompreco","False","23","255.255.254.0"
"10.90.254.80/30","10.90.254.80","CN-S08661-TM-Fujian-DO","False","30","255.255.255.252"
"30.0.160.0/19","30.0.160.0","BR-HOMEOFFICE","False","19","255.255.224.0"
"10.0.255.93/32","10.0.255.93","US-S06492","False","32","255.255.255.255"
"10.249.24.0/21","10.249.24.0","UK-S07451","False","21","255.255.248.0"
"10.161.160.0/21","10.161.160.0","US-S06040","False","21","255.255.248.0"
"10.149.154.0/23","10.149.154.0","MX-S07486","False","23","255.255.254.0"
"30.10.0.0/19","30.10.0.0","US-S06091","False","19","255.255.224.0"
"10.22.0.0/16","10.22.0.0","ISD","True","16","255.255.0.0"
"22.64.0.0/12","22.64.0.0","CAM-Nicaragua-HO","True","12","255.240.0.0"
"172.31.0.0/16","172.31.0.0","ISD","True","16","255.255.0.0"
"10.164.216.0/23","10.164.216.0","MX-S06388","False","23","255.255.254.0"
"10.248.40.0/21","10.248.40.0","CA-S07084","False","21","255.255.248.0"
"142.136.119.0/24","142.136.119.0","US-S06019","False","24","255.255.255.0"
"10.149.160.0/20","10.149.160.0","CA-Toronto-HO","True","20","255.255.240.0"
"30.14.128.0/19","30.14.128.0","US-S07025","False","19","255.255.224.0"
"10.163.4.0/22","10.163.4.0","ISD","True","22","255.255.252.0"
"30.2.192.0/19","30.2.192.0","US-S06017","False","19","255.255.224.0"
"161.163.57.0/24","161.163.57.0","CN-HOMEOFFICE","True","24","255.255.255.0"
"161.171.0.0/16","161.171.0.0","ISD","True","16","255.255.0.0"
"10.158.26.0/24","10.158.26.0","CA-S07084","False","24","255.255.255.0"
"10.132.0.0/14","10.132.0.0","BR-HOMEOFFICE","False","14","255.252.0.0"
"10.90.254.124/30","10.90.254.124","CN-S08674-TM-Suwan-DO","False","30","255.255.255.252"
"30.27.160.0/19","30.27.160.0","CAM-CostaRica-HO","True","19","255.255.224.0"
"10.90.254.112/30","10.90.254.112","CN-S08674-TM-Suwan-DO","False","30","255.255.255.252"
"30.2.160.0/19","30.2.160.0","US-S06016","False","19","255.255.224.0"
"30.16.224.0/19","30.16.224.0","CA-Toronto-HO","True","19","255.255.224.0"
"10.169.232.0/21","10.169.232.0","US-S06000","False","21","255.255.248.0"
"10.161.176.0/21","10.161.176.0","US-S07012","False","21","255.255.248.0"
"156.95.82.72/30","156.95.82.72","US-S04895","False","30","255.255.255.252"
